train_density,station_load,time_of_day,route_type,congestion_level
17.52,2169.2,morning,suburban,Low
44.18,8603.4,night,urban,High
5.33,4872.4,afternoon,urban,Low
28.83,629.5,morning,urban,Medium
18.72,3428.8,morning,intercity,Low
48.61,911.9,evening,intercity,Medium
43.67,9413.3,morning,suburban,High
8.74,1734.3,morning,urban,Low
11.2,999.1,morning,urban,Low
47.8,2577.1,night,suburban,Low
13.32,6954.5,morning,suburban,Medium
28.29,6688.5,evening,suburban,High
28.12,298.4,morning,suburban,Low
8.88,7909.3,morning,intercity,Medium
33.14,5487.7,morning,intercity,Medium
45.69,1240.9,night,intercity,Low
47.74,5700.9,afternoon,intercity,Medium
6.99,7683.7,morning,suburban,Medium
27.19,4113.7,evening,urban,High
23.26,4412.7,afternoon,urban,Medium
6.27,4746.0,afternoon,intercity,Low
11.12,5438.6,morning,suburban,Medium
3.85,6760.3,afternoon,intercity,Low
14.0,1911.1,morning,suburban,Low
42.9,513.0,afternoon,intercity,Low
27.93,9314.1,afternoon,intercity,Medium
47.4,6794.7,afternoon,intercity,High
38.36,2657.4,morning,suburban,Medium
23.2,8799.9,morning,suburban,High
5.64,9713.3,afternoon,urban,High
10.42,989.8,morning,intercity,Low
28.59,9562.7,morning,intercity,High
28.96,1431.8,night,intercity,Low
3.66,6845.5,morning,suburban,Medium
4.59,4905.9,night,suburban,Low
43.6,2548.3,night,intercity,Low
27.37,6118.3,evening,suburban,High
8.38,4559.0,evening,suburban,Low
27.85,8154.8,night,intercity,Low
34.05,9218.3,morning,urban,High
34.03,4021.8,evening,urban,High
14.59,3983.4,evening,urban,Medium
1.5,3033.1,evening,urban,Low
37.16,446.8,afternoon,intercity,Low
18.91,7443.1,afternoon,urban,High
1.72,6098.8,evening,urban,Medium
21.54,1829.2,night,intercity,Low
36.11,4308.0,afternoon,urban,High
25.86,3932.4,evening,suburban,Medium
46.83,2481.0,morning,urban,High
12.63,6042.6,afternoon,urban,Medium
21.2,6874.1,morning,intercity,Medium
25.04,8793.2,evening,suburban,High
36.44,5096.0,evening,urban,High
32.86,8331.3,evening,suburban,High
17.28,3215.9,afternoon,suburban,Low
14.0,6929.6,evening,suburban,Medium
21.4,6069.6,night,urban,Medium
7.72,1808.9,morning,urban,Low
32.31,464.4,morning,urban,Medium
5.98,2086.4,afternoon,intercity,Low
32.01,3881.8,morning,suburban,Medium
12.86,1177.7,evening,suburban,Low
40.14,5527.1,afternoon,suburban,High
42.3,4035.0,morning,intercity,Medium
21.41,7691.3,evening,intercity,Medium
6.19,174.2,night,intercity,Low
14.04,8761.5,afternoon,suburban,Medium
3.7,6465.4,afternoon,suburban,Low
37.22,2455.9,morning,intercity,Medium
40.77,6824.2,night,intercity,Low
49.21,2641.3,morning,urban,High
9.45,7099.3,afternoon,urban,Medium
45.75,1390.3,evening,suburban,Medium
6.26,2161.6,evening,intercity,Low
4.85,8488.8,afternoon,urban,Medium
7.76,3103.7,evening,intercity,Low
15.0,4798.8,morning,suburban,Medium
7.37,9296.7,night,urban,Medium
21.11,347.4,afternoon,urban,Low
41.02,6201.1,night,urban,Medium
1.31,4297.4,night,urban,Low
42.5,2614.1,morning,intercity,Medium
46.91,3028.8,evening,urban,High
3.6,2518.9,morning,urban,Low
8.04,188.8,evening,intercity,Low
32.29,7547.4,morning,suburban,High
11.62,3533.1,afternoon,urban,Low
24.96,1387.6,morning,suburban,Low
22.75,1867.9,morning,intercity,Low
7.61,1347.6,evening,suburban,Low
19.2,6467.5,afternoon,urban,Medium
25.16,350.7,evening,intercity,Low
49.8,3479.2,evening,intercity,High
19.62,2920.2,evening,urban,Medium
38.22,9498.4,afternoon,suburban,High
8.9,7808.9,evening,urban,High
47.39,2265.5,night,intercity,Low
6.21,1092.1,night,intercity,Low
23.18,7733.8,morning,suburban,High
35.33,895.6,afternoon,urban,Medium
21.28,3935.8,morning,suburban,Medium
43.59,9973.3,afternoon,suburban,High
25.2,2077.2,evening,intercity,Low
33.04,7116.8,afternoon,urban,High
10.63,6223.9,night,intercity,Low
43.89,9764.5,afternoon,suburban,High
47.91,2470.5,afternoon,suburban,Medium
5.17,965.3,afternoon,intercity,Low
19.47,8526.7,evening,intercity,Medium
19.75,577.6,night,intercity,Low
16.69,7204.5,afternoon,intercity,Medium
13.37,8216.2,night,urban,Medium
43.45,7845.3,evening,urban,High
12.02,1182.1,morning,urban,Low
43.72,9449.2,evening,suburban,High
6.49,2806.3,evening,intercity,Low
28.45,245.5,night,urban,Low
12.49,2362.0,afternoon,urban,Low
3.9,8770.8,evening,suburban,Medium
47.55,7779.1,morning,intercity,High
30.69,3734.5,afternoon,suburban,Medium
25.51,6708.6,afternoon,urban,High
12.61,1801.5,morning,suburban,Low
4.05,7399.5,morning,suburban,Medium
47.14,6862.0,evening,urban,High
21.85,2539.9,afternoon,urban,Medium
10.4,2153.6,afternoon,suburban,Low
21.99,9853.0,evening,urban,High
6.2,1958.9,night,urban,Low
36.19,6803.6,morning,intercity,High
32.92,8268.1,afternoon,intercity,Medium
19.35,5033.9,evening,suburban,Medium
18.14,656.0,night,intercity,Low
6.99,7395.6,afternoon,intercity,Low
5.66,7056.4,morning,intercity,Medium
25.87,497.2,morning,suburban,Low
4.04,2681.8,night,suburban,Low
32.79,5735.5,morning,intercity,Medium
8.64,1234.1,evening,suburban,Low
1.97,9626.1,afternoon,suburban,Medium
46.25,4651.6,afternoon,suburban,High
25.54,7423.5,morning,intercity,Medium
3.48,4086.2,afternoon,intercity,Low
4.44,2955.8,morning,urban,Low
19.44,9581.9,morning,intercity,High
14.96,1563.2,evening,intercity,Low
21.5,4526.9,morning,urban,High
32.8,9211.6,morning,urban,High
3.18,3673.0,morning,suburban,Low
24.07,7248.7,night,urban,Medium
2.81,9356.4,morning,intercity,Medium
6.48,9739.5,evening,intercity,Medium
34.66,1243.0,evening,suburban,Medium
44.91,3832.1,night,intercity,Low
25.32,2676.5,afternoon,suburban,Low
19.67,2178.3,morning,intercity,Low
27.0,2090.3,evening,intercity,Low
28.42,5086.7,evening,suburban,High
26.08,3976.5,afternoon,urban,Medium
18.71,668.4,evening,intercity,Low
36.06,6730.9,afternoon,suburban,High
10.4,9212.9,morning,urban,High
13.52,7277.2,evening,urban,High
19.03,7186.6,afternoon,suburban,Medium
40.41,6894.1,morning,intercity,High
41.11,3087.1,afternoon,intercity,Medium
35.34,5550.5,evening,intercity,Medium
43.7,3780.2,morning,urban,High
43.03,3377.0,afternoon,suburban,Medium
2.86,6712.3,night,suburban,Low
15.55,575.9,morning,suburban,Low
46.49,4644.3,morning,suburban,High
29.89,3261.9,evening,suburban,Medium
10.16,9017.6,evening,suburban,High
46.55,3205.4,night,urban,Medium
46.09,2271.1,evening,suburban,High
27.69,177.7,morning,suburban,Low
18.84,4513.9,morning,intercity,Medium
21.11,5091.1,morning,urban,High
7.26,6062.8,afternoon,urban,Medium
11.87,8404.3,afternoon,urban,High
46.41,1028.6,evening,urban,High
45.13,6599.1,evening,intercity,High
4.92,7788.8,afternoon,urban,Medium
33.11,3850.3,morning,urban,High
15.02,3737.1,evening,intercity,Low
24.04,1011.5,night,urban,Low
49.45,7437.3,evening,intercity,High
48.95,1427.7,afternoon,urban,High
29.72,7397.7,morning,suburban,High
2.63,3651.4,evening,urban,Low
15.69,6924.8,evening,intercity,Medium
49.46,9722.5,night,urban,High
5.52,4698.3,evening,urban,Medium
21.1,3286.7,afternoon,urban,Medium
30.65,1854.2,afternoon,suburban,Low
21.16,8615.0,night,urban,Medium
49.56,9770.1,afternoon,suburban,High
22.92,7091.8,afternoon,urban,High
36.73,3159.5,afternoon,intercity,Medium
14.75,7690.9,morning,intercity,Medium
13.0,1882.2,morning,urban,Low
31.71,8096.8,evening,urban,High
42.84,9809.6,morning,intercity,High
32.11,1134.0,morning,urban,Medium
13.19,3693.4,afternoon,intercity,Low
35.26,1401.6,night,suburban,Low
47.34,6972.4,evening,suburban,High
4.91,2073.4,evening,suburban,Low
5.51,5466.8,evening,intercity,Low
34.35,3816.5,evening,intercity,Medium
42.17,8866.3,evening,urban,High
22.17,2654.1,afternoon,intercity,Low
23.4,107.8,evening,intercity,Low
8.61,2232.8,morning,suburban,Low
15.78,559.9,evening,intercity,Low
46.48,9743.2,morning,intercity,High
1.83,9901.6,night,suburban,Low
43.36,8096.5,night,suburban,Medium
14.08,9808.0,morning,intercity,Medium
46.87,3289.0,evening,suburban,High
28.92,1026.1,afternoon,intercity,Low
16.16,7141.5,morning,urban,High
38.86,4002.2,afternoon,intercity,Medium
25.7,8051.5,morning,suburban,High
5.09,112.6,morning,suburban,Low
45.83,9644.1,evening,suburban,High
6.33,7863.9,night,suburban,Low
30.81,8028.0,evening,suburban,High
4.93,5153.6,night,intercity,Low
49.32,4351.6,morning,suburban,High
20.89,8601.8,afternoon,urban,High
4.97,9634.0,afternoon,intercity,Medium
6.88,9904.5,night,intercity,Low
41.62,6486.8,morning,intercity,High
32.81,6193.1,evening,suburban,High
17.68,2862.0,evening,suburban,Low
7.14,4550.6,evening,suburban,Low
4.58,7983.9,evening,intercity,Medium
15.11,6484.1,evening,suburban,Medium
8.97,2025.2,afternoon,suburban,Low
10.89,4518.0,evening,suburban,Low
1.45,9669.3,afternoon,urban,Medium
20.68,4203.2,morning,urban,Medium
12.77,7005.1,evening,suburban,Medium
37.85,3235.9,evening,intercity,Medium
40.38,5804.1,morning,suburban,High
9.45,7799.2,morning,intercity,Medium
20.69,1544.2,evening,suburban,Low
30.27,7575.8,afternoon,suburban,High
13.08,2128.7,morning,urban,Low
24.04,7649.3,evening,urban,High
25.2,6220.0,morning,intercity,Medium
24.1,9246.8,afternoon,intercity,Medium
46.26,5648.7,evening,suburban,High
24.38,6618.5,morning,suburban,High
12.26,3473.0,afternoon,intercity,Low
48.54,1193.4,evening,suburban,High
23.85,3115.0,afternoon,intercity,Low
37.71,4017.8,morning,suburban,High
48.44,2151.3,morning,suburban,High
24.0,3971.9,evening,urban,High
19.42,4214.1,evening,suburban,Medium
24.22,9539.2,night,urban,Medium
40.43,8238.2,night,suburban,Medium
6.14,1013.2,evening,urban,Low
21.53,7385.5,morning,urban,High
32.48,3375.0,evening,intercity,Medium
8.14,8503.8,night,intercity,Low
10.19,6236.8,afternoon,intercity,Low
28.39,476.2,morning,suburban,Low
3.08,8579.3,night,urban,Low
19.48,4384.1,morning,suburban,Medium
15.76,3676.7,morning,urban,Medium
28.25,1111.9,morning,suburban,Low
13.24,5842.9,afternoon,suburban,Medium
22.72,9084.6,evening,suburban,High
22.5,6058.6,afternoon,suburban,Medium
19.39,7278.5,afternoon,urban,High
19.45,7292.8,evening,suburban,High
15.78,1476.6,evening,intercity,Low
39.83,1892.8,evening,intercity,Medium
37.4,6056.1,night,urban,Medium
12.31,1115.3,evening,suburban,Low
5.11,6148.7,morning,intercity,Low
34.77,3055.6,night,urban,Low
6.58,1909.0,evening,intercity,Low
19.51,9186.5,morning,suburban,High
39.82,6263.9,evening,urban,High
11.94,8544.9,evening,intercity,Medium
45.68,6758.2,evening,urban,High
28.82,6357.3,morning,suburban,High
7.91,7316.5,morning,intercity,Medium
21.46,1524.0,night,suburban,Low
8.63,4919.0,morning,intercity,Low
31.05,148.3,afternoon,urban,Low
42.7,7504.3,morning,intercity,High
45.82,2241.1,night,intercity,Low
27.95,5639.9,evening,urban,High
38.4,3315.4,afternoon,urban,High
24.29,2160.8,night,intercity,Low
17.37,6970.4,afternoon,suburban,Medium
7.01,5111.0,afternoon,intercity,Low
25.89,512.5,morning,intercity,Low
18.78,2866.6,evening,suburban,Low
5.27,8172.6,morning,intercity,Medium
5.34,1443.9,evening,intercity,Low
23.47,8895.5,morning,intercity,High
1.57,1927.5,evening,suburban,Low
41.05,2503.6,evening,suburban,High
9.58,5624.9,evening,suburban,Medium
27.38,7040.1,morning,intercity,Medium
11.41,1941.9,night,intercity,Low
37.98,2768.7,afternoon,intercity,Medium
48.18,2880.3,morning,suburban,High
9.63,2152.6,evening,intercity,Low
27.22,5432.9,afternoon,intercity,Medium
25.38,2290.6,evening,intercity,Low
6.0,6155.3,evening,urban,Medium
25.35,321.2,evening,suburban,Low
14.22,8361.5,morning,suburban,High
20.66,9221.7,evening,suburban,High
24.25,706.1,morning,suburban,Low
23.21,9179.6,evening,intercity,High
45.58,7826.2,morning,suburban,High
28.14,2321.3,afternoon,urban,Medium
31.78,8946.7,night,intercity,Medium
24.64,2271.1,morning,urban,Medium
38.19,7006.0,morning,urban,High
5.91,6189.6,evening,urban,Medium
47.0,5277.8,morning,urban,High
21.18,7659.3,evening,urban,High
32.32,8663.9,night,suburban,Medium
41.72,7425.7,evening,intercity,High
10.28,8878.8,evening,intercity,Medium
37.3,6299.6,evening,intercity,High
44.9,4761.8,afternoon,intercity,Medium
41.81,828.0,night,suburban,Low
46.02,6985.1,afternoon,suburban,High
31.47,9227.4,evening,suburban,High
43.19,9250.0,night,suburban,Medium
31.2,3675.6,morning,intercity,Medium
32.58,1887.9,evening,urban,Medium
18.16,9793.2,night,intercity,Low
10.94,166.1,morning,intercity,Low
3.81,7504.4,evening,suburban,Medium
47.13,7352.0,morning,suburban,High
47.85,1528.5,evening,urban,High
15.22,1343.4,morning,intercity,Low
47.12,7980.0,afternoon,intercity,High
36.53,905.2,evening,intercity,Medium
7.27,8081.3,night,intercity,Low
3.75,1785.9,morning,urban,Low
41.89,4188.9,morning,intercity,Medium
27.9,4493.3,afternoon,intercity,Low
39.65,1607.0,afternoon,suburban,Medium
22.94,5750.9,afternoon,urban,Medium
22.17,9025.4,afternoon,urban,High
38.78,6146.6,evening,suburban,High
43.38,5450.4,evening,urban,High
2.15,1095.5,night,suburban,Low
35.69,1410.0,evening,suburban,Medium
21.74,2024.5,evening,intercity,Low
3.17,7593.8,afternoon,urban,Medium
3.3,5368.8,morning,suburban,Low
2.39,6356.8,evening,suburban,Medium
46.16,4269.1,morning,intercity,High
38.05,3041.6,night,suburban,Low
18.87,2219.5,morning,intercity,Low
4.71,8462.6,evening,intercity,Medium
15.53,9718.0,morning,suburban,High
43.67,5249.1,evening,suburban,High
29.98,3189.1,afternoon,suburban,Medium
23.99,4768.5,evening,intercity,Medium
37.57,167.9,evening,intercity,Low
2.41,4857.2,morning,urban,Low
19.77,7369.9,evening,intercity,Medium
23.48,608.1,night,suburban,Low
25.59,3472.1,evening,urban,High
20.24,5366.8,afternoon,urban,Medium
10.48,8943.4,evening,urban,High
12.16,2205.9,morning,suburban,Low
31.89,6009.3,morning,suburban,High
37.0,475.7,evening,urban,Medium
40.0,7534.4,evening,suburban,High
7.93,858.0,morning,intercity,Low
33.32,7021.8,morning,urban,High
41.61,8692.1,afternoon,intercity,High
33.95,4530.0,night,urban,Medium
8.67,7685.3,night,urban,Low
10.38,7369.9,afternoon,urban,Medium
33.99,9019.9,night,urban,Medium
7.04,9828.4,night,urban,Medium
21.27,3552.0,evening,urban,Medium
17.9,4610.5,morning,intercity,Medium
19.65,3168.5,afternoon,urban,Medium
4.23,6610.1,morning,suburban,Medium
48.52,2453.9,morning,urban,High
4.66,3841.8,morning,intercity,Low
9.03,6470.3,morning,intercity,Medium
40.08,3854.1,morning,urban,High
2.23,3772.1,night,suburban,Low
15.47,3576.9,morning,intercity,Low
3.37,9815.6,afternoon,suburban,Medium
19.95,4266.4,evening,urban,Medium
37.29,757.5,evening,urban,Medium
38.05,315.4,morning,suburban,Medium
16.15,8362.7,afternoon,suburban,Medium
45.33,5614.9,afternoon,suburban,High
49.56,7903.3,morning,urban,High
30.1,1256.5,afternoon,urban,Medium
35.95,2714.0,morning,urban,High
35.36,389.4,evening,intercity,Low
31.94,3380.2,afternoon,intercity,Low
8.85,1926.7,morning,suburban,Low
15.97,1649.4,evening,urban,Low
15.11,6634.0,evening,urban,High
25.28,8593.2,evening,suburban,High
33.16,9781.3,afternoon,intercity,High
37.96,499.2,morning,suburban,Medium
5.46,1827.4,evening,suburban,Low
5.34,3008.5,morning,intercity,Low
21.48,3619.1,evening,urban,Medium
13.42,7914.9,evening,suburban,Medium
6.02,8366.8,evening,urban,High
19.65,4726.1,morning,urban,High
33.04,5634.4,evening,urban,High
37.06,646.1,evening,urban,Medium
48.1,8757.5,morning,suburban,High
16.56,5126.5,afternoon,intercity,Low
14.78,8186.0,afternoon,suburban,Medium
8.57,6249.5,morning,suburban,Medium
37.85,5522.1,evening,intercity,High
3.37,1256.7,evening,suburban,Low
38.43,7970.9,afternoon,suburban,High
11.15,6788.5,evening,intercity,Medium
30.21,9367.4,night,urban,Medium
30.78,1959.2,evening,suburban,Medium
6.21,7449.2,evening,urban,High
37.77,7172.7,morning,suburban,High
6.61,8349.5,night,urban,Low
36.72,342.0,afternoon,suburban,Low
25.86,2095.5,evening,urban,Medium
20.75,3151.2,evening,urban,Medium
19.97,7075.4,night,suburban,Low
47.47,8299.1,morning,suburban,High
24.76,706.2,evening,urban,Medium
44.72,3497.3,morning,urban,High
40.05,8726.8,afternoon,intercity,High
22.82,2512.6,afternoon,suburban,Low
46.25,3435.4,evening,suburban,High
41.48,8287.6,morning,intercity,High
21.97,2940.0,morning,suburban,Medium
17.74,1276.8,night,suburban,Low
3.25,375.1,afternoon,urban,Low
13.23,9536.3,morning,urban,High
11.99,2250.1,evening,suburban,Low
7.5,4209.7,afternoon,intercity,Low
2.07,4237.8,evening,intercity,Low
25.48,1410.6,evening,suburban,Low
20.11,559.7,night,urban,Low
41.51,3226.5,evening,intercity,Medium
36.47,1163.5,afternoon,suburban,Low
47.68,9126.6,night,intercity,Medium
28.1,6930.9,night,intercity,Low
42.77,7876.9,evening,suburban,High
21.78,9536.3,night,intercity,Low
47.1,3329.0,evening,urban,High
3.32,9728.3,morning,urban,High
5.5,653.5,night,suburban,Low
2.21,8002.6,morning,urban,Medium
26.22,4103.9,afternoon,urban,Medium
26.55,1469.8,evening,urban,Medium
37.02,2821.1,night,suburban,Low
40.91,1293.3,afternoon,urban,Medium
10.82,8523.2,morning,suburban,High
40.95,8940.5,evening,intercity,High
11.25,9713.1,morning,urban,High
24.22,1373.6,evening,urban,Medium
32.5,1125.9,afternoon,intercity,Low
37.91,6039.1,evening,suburban,High
3.28,6274.6,afternoon,intercity,Low
38.75,3238.6,evening,urban,High
39.75,8191.9,evening,suburban,High
2.89,6335.9,afternoon,suburban,Low
39.95,626.7,evening,intercity,Medium
36.38,8547.6,night,intercity,Medium
38.54,7428.1,evening,suburban,High
41.72,746.2,morning,urban,High
5.04,2314.2,evening,intercity,Low
1.53,6070.5,afternoon,suburban,Low
20.53,7759.7,evening,intercity,Medium
10.36,2424.5,night,suburban,Low
27.94,4757.5,afternoon,intercity,Medium
45.47,9669.9,afternoon,intercity,High
41.34,2416.4,afternoon,intercity,Medium
33.5,4420.4,night,intercity,Low
8.41,1502.3,morning,intercity,Low
25.39,5395.2,morning,intercity,Medium
15.46,4176.5,afternoon,suburban,Low
31.0,3530.0,morning,urban,High
23.52,7845.7,evening,intercity,Medium
10.79,4421.8,afternoon,suburban,Low
6.48,916.8,afternoon,intercity,Low
32.2,7589.0,afternoon,urban,High
49.57,1282.2,evening,suburban,High
46.55,2733.0,afternoon,suburban,Medium
20.88,7580.4,afternoon,intercity,Medium
37.82,4867.3,evening,intercity,Medium
1.46,6878.2,morning,suburban,Medium
46.05,9282.7,evening,suburban,High
7.39,533.0,evening,suburban,Low
29.52,3135.8,night,suburban,Low
32.78,4531.7,evening,urban,High
2.95,1835.2,night,urban,Low
29.63,7664.3,afternoon,intercity,Medium
47.38,6273.8,evening,intercity,High
34.94,7656.4,morning,urban,High
2.89,2159.5,morning,urban,Low
33.99,6920.6,evening,intercity,High
7.77,6046.3,morning,urban,Medium
15.59,8594.2,evening,suburban,High
23.46,7577.7,evening,suburban,High
37.28,4892.8,morning,urban,High
12.09,1914.3,morning,urban,Low
9.74,8684.2,afternoon,urban,Medium
13.46,3775.9,afternoon,urban,Low
34.67,9700.2,afternoon,intercity,High
1.96,8064.1,morning,suburban,Medium
38.66,5165.6,night,suburban,Medium
35.25,2012.2,evening,suburban,Medium
17.78,4325.5,night,suburban,Low
48.03,7609.5,morning,intercity,High
27.95,2372.6,morning,urban,Medium
22.87,1840.9,afternoon,urban,Low
18.16,3997.4,afternoon,intercity,Low
11.14,5445.7,morning,suburban,Medium
9.92,6627.0,night,intercity,Low
30.93,6922.0,afternoon,suburban,Medium
3.32,7964.2,morning,intercity,Medium
12.85,3946.9,morning,urban,Medium
38.7,822.4,morning,suburban,Medium
12.67,785.2,evening,suburban,Low
1.79,7764.8,afternoon,intercity,Low
42.94,3071.2,evening,intercity,Medium
5.68,9368.4,afternoon,intercity,Medium
46.65,8000.2,evening,urban,High
30.68,7323.0,afternoon,suburban,High
10.73,6139.8,evening,intercity,Medium
34.77,5638.6,night,intercity,Low
31.21,8597.2,evening,urban,High
38.14,879.2,evening,suburban,Medium
39.31,4112.0,morning,urban,High
14.41,4942.1,evening,suburban,Medium
4.78,6490.5,morning,intercity,Low
43.86,9354.6,morning,urban,High
11.79,3597.9,morning,urban,Medium
20.07,7467.9,evening,intercity,Medium
46.52,9522.0,afternoon,intercity,High
21.53,2156.3,evening,intercity,Low
23.43,7646.5,night,suburban,Low
43.07,3168.0,night,intercity,Low
37.3,6064.9,afternoon,suburban,High
36.75,6684.8,morning,suburban,High
30.77,3943.4,afternoon,intercity,Low
16.13,2972.5,evening,intercity,Low
38.83,6286.5,morning,suburban,High
20.44,5481.0,morning,suburban,Medium
15.6,8573.7,morning,intercity,Medium
11.96,5863.0,afternoon,urban,Medium
18.22,5135.7,evening,intercity,Medium
32.45,8293.9,evening,suburban,High
33.47,6001.2,afternoon,intercity,Medium
44.61,289.9,evening,intercity,Medium
36.86,5609.1,morning,intercity,High
47.82,3580.9,afternoon,urban,High
46.3,9555.2,morning,intercity,High
31.78,948.2,afternoon,suburban,Low
7.43,9049.6,night,suburban,Low
39.73,6067.7,evening,suburban,High
10.92,4237.6,evening,intercity,Low
22.51,9150.9,morning,urban,High
33.32,9634.1,afternoon,urban,High
2.62,3084.2,evening,urban,Low
32.37,4156.5,evening,urban,High
9.14,2675.3,morning,intercity,Low
5.13,9680.2,morning,suburban,High
33.31,7244.0,evening,urban,High
13.55,4863.3,evening,suburban,Medium
47.28,1134.6,morning,intercity,Medium
28.67,5146.4,morning,urban,High
2.16,2035.2,morning,intercity,Low
30.33,1582.4,evening,urban,Medium
21.17,8527.1,evening,intercity,Medium
40.7,7854.5,morning,urban,High
1.13,6476.6,evening,urban,Medium
49.32,6005.1,afternoon,urban,High
32.19,2876.8,morning,suburban,Medium
26.44,9205.3,evening,suburban,High
7.28,1632.5,morning,suburban,Low
7.51,2612.1,morning,intercity,Low
10.22,913.8,afternoon,urban,Low
32.5,2911.8,morning,intercity,Medium
30.86,9168.9,evening,urban,High
39.68,5132.9,evening,suburban,High
25.49,5384.7,morning,suburban,Medium
33.63,9125.4,night,intercity,Medium
36.26,845.0,night,urban,Low
47.23,8037.6,night,urban,High
16.3,2104.7,morning,urban,Low
28.3,820.6,afternoon,suburban,Low
30.66,6866.7,morning,urban,High
44.37,5584.1,morning,intercity,High
36.59,8818.7,evening,suburban,High
27.56,5224.0,morning,urban,High
1.0,9045.6,evening,urban,High
11.28,9813.8,evening,suburban,High
6.15,7448.3,afternoon,suburban,Medium
31.38,8492.2,morning,urban,High
11.81,7161.3,morning,intercity,Medium
46.75,5624.4,night,suburban,Medium
20.94,9161.6,morning,suburban,High
24.36,5856.3,morning,urban,High
3.74,9574.7,evening,suburban,Medium
2.21,1443.0,evening,urban,Low
9.71,363.3,morning,urban,Low
14.06,6894.4,evening,intercity,Medium
20.55,3231.1,morning,intercity,Low
31.26,7525.7,evening,urban,High
39.92,5844.4,evening,urban,High
22.96,4803.7,morning,intercity,Medium
7.18,132.5,afternoon,intercity,Low
30.22,9093.3,afternoon,urban,High
26.81,9659.5,afternoon,intercity,Medium
2.94,4948.1,evening,intercity,Low
20.14,2498.2,night,suburban,Low
44.23,4938.4,afternoon,suburban,High
12.45,5238.8,evening,suburban,Medium
48.78,1339.5,evening,intercity,Medium
1.59,4509.0,night,suburban,Low
48.95,6890.1,morning,urban,High
39.49,903.8,morning,urban,High
26.77,9339.0,evening,suburban,High
8.32,4490.8,afternoon,urban,Low
30.18,6132.2,morning,urban,High
2.83,732.8,evening,intercity,Low
9.06,6059.0,morning,suburban,Medium
29.86,5862.2,night,urban,Medium
36.04,6841.5,evening,suburban,High
34.11,4510.2,morning,suburban,High
26.81,2393.8,afternoon,suburban,Low
8.71,2145.8,afternoon,urban,Low
19.17,9648.5,morning,intercity,High
49.94,8232.0,evening,suburban,High
3.68,3389.3,evening,suburban,Low
31.67,2944.8,night,urban,Low
1.35,2687.1,evening,suburban,Low
23.9,3628.7,evening,urban,Medium
16.11,2953.1,afternoon,urban,Low
5.04,4214.8,morning,urban,Low
32.95,9009.1,afternoon,urban,High
31.92,5304.8,afternoon,intercity,Medium
42.57,4665.2,afternoon,suburban,Medium
36.5,8462.0,morning,suburban,High
42.1,9408.7,evening,suburban,High
21.99,308.9,evening,urban,Low
2.71,9161.7,night,intercity,Low
21.36,7576.7,morning,suburban,High
2.65,4875.8,evening,suburban,Low
36.45,145.3,afternoon,suburban,Low
43.43,6611.9,morning,suburban,High
27.31,5108.2,morning,intercity,Medium
10.47,6151.3,morning,urban,Medium
1.92,3487.2,afternoon,urban,Low
20.92,3001.2,night,suburban,Low
39.51,2731.8,night,suburban,Low
40.99,2018.7,afternoon,intercity,Medium
44.45,7635.6,afternoon,intercity,High
13.54,8238.5,evening,suburban,High
29.71,5704.7,afternoon,urban,High
36.85,7474.1,afternoon,urban,High
20.62,4121.4,afternoon,suburban,Low
36.51,5180.5,morning,suburban,High
24.7,1077.8,evening,intercity,Low
21.35,6375.1,morning,suburban,Medium
30.33,8145.5,morning,intercity,High
9.73,473.7,afternoon,urban,Low
13.34,6058.1,evening,intercity,Medium
24.76,871.7,evening,urban,Medium
15.44,7349.5,morning,intercity,Medium
31.77,4708.1,morning,intercity,Medium
26.72,3115.4,afternoon,intercity,Low
23.76,6626.4,morning,intercity,Medium
4.73,4191.2,afternoon,suburban,Low
6.82,3476.3,morning,suburban,Low
28.77,1193.7,night,urban,Low
39.74,5519.2,morning,intercity,High
32.76,5683.2,afternoon,urban,High
44.66,7413.6,afternoon,suburban,High
34.14,2026.1,afternoon,urban,Medium
12.79,7172.0,night,suburban,Low
18.45,6977.0,night,intercity,Low
37.81,5543.3,evening,intercity,High
32.81,5441.8,afternoon,intercity,Medium
41.04,2000.3,afternoon,urban,Medium
37.05,6090.8,morning,intercity,High
10.9,408.1,morning,suburban,Low
25.17,5767.1,morning,suburban,High
36.05,2277.9,night,urban,Low
25.16,8492.2,morning,suburban,High
14.81,6406.7,afternoon,urban,Medium
4.06,2967.0,evening,urban,Low
14.3,869.6,night,intercity,Low
44.09,4407.5,afternoon,urban,High
5.91,1193.2,evening,intercity,Low
19.37,6723.8,morning,intercity,Medium
41.84,4992.2,night,intercity,Low
8.93,4172.0,evening,urban,Medium
26.37,9087.7,night,suburban,Medium
34.88,5774.0,evening,urban,High
21.72,5712.6,morning,urban,High
29.15,5714.6,night,suburban,Low
30.73,2626.7,night,urban,Low
4.93,9910.2,evening,intercity,Medium
38.4,3005.8,evening,urban,High
25.27,6340.8,evening,intercity,Medium
5.17,1524.2,evening,suburban,Low
7.11,7664.6,evening,intercity,Medium
38.42,2644.7,evening,suburban,Medium
3.57,3443.4,night,urban,Low
46.09,5389.3,morning,suburban,High
34.51,4979.2,evening,intercity,Medium
37.64,6273.7,night,suburban,Medium
29.59,7524.4,evening,urban,High
31.89,4220.7,afternoon,suburban,Medium
26.49,1248.5,evening,suburban,Low
17.26,2270.1,afternoon,urban,Low
