alert_type,delay_impact,safety_risk,affected_trains,route_busy,peak_hour,priority
passenger_emergency,22.12,0.3637,15,0,1,Critical
engine_issue,37.83,0.1266,13,0,0,Medium
track_fault,21.13,0.527,16,0,1,Critical
signal_failure,1.91,0.1046,15,1,0,Low
signal_failure,4.02,0.0659,19,0,0,Low
track_fault,95.09,0.1474,13,0,1,Critical
passenger_emergency,7.83,0.6174,9,1,0,Critical
engine_issue,7.64,0.1992,16,1,0,Medium
passenger_emergency,25.25,0.2268,14,0,1,High
signal_failure,24.36,0.4178,11,0,0,High
signal_failure,2.1,0.259,11,0,1,Medium
passenger_emergency,13.53,0.4922,7,1,0,Critical
signal_failure,1.87,0.1267,12,1,1,Medium
signal_failure,27.26,0.4827,9,0,0,Critical
engine_issue,1.18,0.3437,3,1,1,High
passenger_emergency,11.51,0.0096,9,0,0,Low
weather_alert,31.2,0.3064,19,1,0,Critical
signal_failure,8.74,0.1898,7,0,1,Low
passenger_emergency,18.64,0.2734,13,0,0,Medium
passenger_emergency,13.3,0.1192,8,1,0,Low
passenger_emergency,30.0,0.459,6,1,0,Critical
passenger_emergency,45.89,0.556,8,1,0,Critical
track_fault,18.96,0.1348,19,0,0,Medium
passenger_emergency,38.86,0.3612,3,1,0,Critical
track_fault,6.49,0.2544,13,0,1,Medium
passenger_emergency,11.84,0.1727,16,0,0,Low
engine_issue,8.96,0.2731,4,0,0,Low
weather_alert,40.11,0.269,15,1,1,Critical
weather_alert,25.51,0.2011,13,1,1,High
weather_alert,5.62,0.4771,7,0,1,High
weather_alert,7.03,0.2758,4,1,1,High
weather_alert,47.31,0.3878,18,1,1,Critical
weather_alert,4.14,0.3037,4,1,1,High
signal_failure,7.64,0.1543,19,0,1,Medium
passenger_emergency,6.85,0.3487,13,0,0,Medium
engine_issue,0.4,0.2447,17,1,1,High
track_fault,13.39,0.5352,6,1,1,Critical
engine_issue,8.08,0.4062,1,1,1,High
passenger_emergency,1.98,0.6414,13,1,0,Critical
passenger_emergency,0.26,0.5544,8,0,1,Critical
passenger_emergency,8.27,0.1709,11,0,0,Low
engine_issue,25.77,0.1429,9,1,1,High
weather_alert,23.15,0.0678,7,1,1,Medium
track_fault,4.08,0.1519,14,0,1,Medium
weather_alert,5.42,0.2961,10,0,1,Medium
weather_alert,9.97,0.2754,13,0,1,High
track_fault,1.43,0.1057,13,1,1,Medium
track_fault,15.31,0.2846,13,0,0,Medium
signal_failure,4.47,0.3111,7,1,0,Medium
signal_failure,31.94,0.2634,15,0,1,High
engine_issue,15.66,0.1428,5,0,0,Low
engine_issue,5.61,0.4824,19,0,0,Critical
signal_failure,24.86,0.2487,16,0,1,High
engine_issue,34.3,0.2231,11,1,1,Critical
weather_alert,11.77,0.1235,4,1,1,Medium
track_fault,4.82,0.6708,18,1,1,Critical
track_fault,49.8,0.3328,11,1,0,Critical
track_fault,30.33,0.1572,16,0,1,High
engine_issue,36.59,0.273,1,0,1,High
track_fault,16.76,0.3323,7,1,1,Critical
weather_alert,15.67,0.2498,6,1,0,Medium
track_fault,17.86,0.3576,16,1,1,Critical
engine_issue,2.7,0.1349,9,1,1,Medium
track_fault,14.06,0.1863,3,0,1,Low
signal_failure,2.86,0.3255,12,0,1,High
weather_alert,4.46,0.5099,4,0,0,High
track_fault,5.93,0.1728,9,0,1,Low
track_fault,21.71,0.3142,19,1,0,Critical
weather_alert,10.79,0.3893,9,0,0,Medium
passenger_emergency,10.78,0.2872,9,0,0,Medium
weather_alert,16.15,0.1172,1,1,0,Low
passenger_emergency,10.7,0.7329,9,0,0,Critical
passenger_emergency,18.91,0.1346,19,0,0,Medium
engine_issue,1.16,0.2875,19,1,0,High
weather_alert,7.64,0.1526,19,1,0,Medium
track_fault,11.19,0.2402,7,1,1,High
engine_issue,1.75,0.2504,2,0,1,Low
engine_issue,9.22,0.1203,5,1,1,Medium
passenger_emergency,9.4,0.1013,5,0,1,Low
passenger_emergency,18.44,0.1841,2,1,0,Low
engine_issue,5.91,0.2385,14,1,1,High
weather_alert,16.46,0.4431,10,0,1,Critical
track_fault,20.51,0.1473,14,0,0,Low
passenger_emergency,17.7,0.221,4,1,0,Medium
engine_issue,4.8,0.2049,14,0,1,Medium
engine_issue,19.59,0.2729,2,1,1,High
weather_alert,18.02,0.4671,14,1,0,Critical
weather_alert,5.85,0.3533,16,0,0,High
signal_failure,3.99,0.2044,5,1,0,Low
track_fault,5.61,0.4026,7,0,1,High
signal_failure,2.6,0.0875,9,0,0,Low
weather_alert,12.31,0.1954,12,0,0,Low
signal_failure,11.13,0.3658,11,0,0,Medium
track_fault,8.92,0.3385,2,1,0,Medium
engine_issue,5.26,0.1902,8,0,1,Low
weather_alert,1.63,0.1865,10,1,0,Low
engine_issue,34.33,0.084,12,0,0,Low
passenger_emergency,12.81,0.2669,13,1,1,High
passenger_emergency,22.77,0.11,13,1,1,High
signal_failure,26.83,0.1424,9,0,1,Medium
passenger_emergency,22.92,0.2778,10,0,0,Medium
weather_alert,8.34,0.6236,7,1,1,Critical
weather_alert,14.98,0.3252,6,1,0,High
signal_failure,0.68,0.2745,6,0,1,Medium
weather_alert,25.57,0.0567,9,1,0,Low
weather_alert,35.69,0.2007,3,1,0,Medium
engine_issue,41.06,0.6653,5,0,1,Critical
signal_failure,4.17,0.2393,3,1,1,Medium
engine_issue,3.74,0.4258,8,0,0,Medium
passenger_emergency,10.27,0.2757,10,1,1,High
weather_alert,15.35,0.3288,4,1,0,High
signal_failure,13.8,0.4258,3,0,0,Medium
passenger_emergency,29.98,0.4132,10,0,0,High
passenger_emergency,11.34,0.0264,5,0,0,Low
signal_failure,10.91,0.0285,17,1,1,Medium
passenger_emergency,11.64,0.1985,4,0,0,Low
engine_issue,8.5,0.5316,10,1,1,Critical
engine_issue,8.24,0.3409,16,1,0,High
engine_issue,5.8,0.2921,2,0,0,Low
weather_alert,2.28,0.1907,9,0,0,Low
passenger_emergency,4.6,0.1729,9,1,0,Low
weather_alert,2.26,0.1043,11,1,1,Medium
passenger_emergency,10.03,0.7143,17,0,1,Critical
passenger_emergency,54.86,0.1961,12,0,1,Critical
signal_failure,13.22,0.125,8,1,0,Low
track_fault,11.8,0.206,8,1,0,Medium
weather_alert,12.28,0.4803,12,1,1,Critical
engine_issue,3.73,0.4283,6,0,1,High
signal_failure,9.98,0.5417,14,1,1,Critical
signal_failure,3.43,0.1916,8,0,1,Low
engine_issue,16.42,0.3945,2,1,1,Critical
weather_alert,27.76,0.1947,11,1,1,High
signal_failure,3.71,0.3376,5,0,0,Low
signal_failure,40.96,0.0848,7,0,1,Medium
signal_failure,33.31,0.3808,7,0,1,Critical
engine_issue,0.03,0.689,3,0,1,Critical
signal_failure,6.73,0.1676,6,0,0,Low
engine_issue,3.22,0.09,18,1,0,Low
engine_issue,2.55,0.7558,7,0,1,Critical
engine_issue,26.44,0.4327,14,0,1,Critical
weather_alert,18.86,0.3259,8,1,1,Critical
engine_issue,9.94,0.5567,2,1,0,Critical
weather_alert,24.46,0.4729,16,1,0,Critical
weather_alert,21.74,0.1921,18,1,0,High
passenger_emergency,1.42,0.1124,5,1,0,Low
weather_alert,1.25,0.4724,4,0,0,Medium
engine_issue,21.32,0.1278,18,1,1,High
engine_issue,1.53,0.1496,2,0,1,Low
track_fault,28.31,0.5934,17,0,0,Critical
engine_issue,15.53,0.1382,4,0,1,Low
signal_failure,19.17,0.2572,17,0,0,Medium
passenger_emergency,8.0,0.5664,18,0,0,Critical
passenger_emergency,4.68,0.0582,5,0,1,Low
signal_failure,6.12,0.5543,5,0,1,Critical
weather_alert,1.89,0.0579,3,1,0,Low
signal_failure,6.4,0.1987,15,1,0,Medium
weather_alert,17.6,0.0913,7,1,1,Medium
signal_failure,31.0,0.2496,13,0,1,High
engine_issue,0.96,0.2514,12,0,0,Low
weather_alert,29.63,0.0961,10,1,0,Medium
weather_alert,45.76,0.2941,5,0,1,High
engine_issue,39.45,0.1111,7,1,1,High
passenger_emergency,11.86,0.3285,10,0,0,Medium
weather_alert,29.53,0.1394,2,0,1,Low
track_fault,21.52,0.3222,8,0,1,High
weather_alert,11.4,0.0809,14,1,0,Low
weather_alert,12.51,0.2545,9,0,0,Low
track_fault,2.65,0.1346,8,0,1,Low
weather_alert,25.97,0.188,16,0,0,Medium
passenger_emergency,1.2,0.3194,11,0,1,Medium
passenger_emergency,17.27,0.1112,15,1,0,Medium
weather_alert,58.09,0.0313,1,1,0,Medium
weather_alert,21.39,0.0258,18,0,0,Low
track_fault,12.12,0.2526,15,0,1,High
weather_alert,7.14,0.4275,16,0,0,High
track_fault,28.32,0.4632,14,0,1,Critical
engine_issue,1.42,0.4675,11,1,0,High
track_fault,10.14,0.1889,11,1,0,Medium
track_fault,22.37,0.6924,12,1,0,Critical
signal_failure,6.14,0.5398,10,1,0,Critical
passenger_emergency,7.41,0.5339,14,1,0,Critical
signal_failure,1.39,0.1487,7,1,1,Medium
signal_failure,2.43,0.449,15,1,1,Critical
passenger_emergency,0.44,0.3045,7,1,1,High
engine_issue,6.42,0.1696,10,1,0,Low
engine_issue,11.03,0.5653,2,1,1,Critical
weather_alert,5.97,0.1029,18,0,0,Low
track_fault,5.23,0.1057,14,1,1,Medium
signal_failure,17.34,0.3498,5,1,1,Critical
weather_alert,41.5,0.144,1,0,1,Medium
signal_failure,11.3,0.1824,17,1,0,Medium
engine_issue,11.82,0.1809,1,1,0,Low
passenger_emergency,5.0,0.4037,10,0,1,High
passenger_emergency,7.01,0.6209,1,1,0,Critical
track_fault,6.18,0.3383,14,1,0,High
weather_alert,45.97,0.275,4,0,0,High
weather_alert,18.63,0.2544,9,0,0,Medium
engine_issue,23.03,0.2556,11,0,0,Medium
signal_failure,3.22,0.3548,8,0,1,High
track_fault,25.94,0.0684,13,0,1,Medium
weather_alert,8.73,0.2037,10,1,1,High
passenger_emergency,2.24,0.1187,8,0,1,Low
signal_failure,15.38,0.2184,7,1,1,High
weather_alert,2.39,0.3241,8,0,0,Medium
passenger_emergency,9.06,0.2998,7,1,0,Medium
passenger_emergency,1.98,0.5748,11,0,1,Critical
engine_issue,11.82,0.421,15,0,0,High
signal_failure,3.39,0.0331,12,1,0,Low
track_fault,3.62,0.3289,1,1,0,Medium
passenger_emergency,2.43,0.5082,17,0,0,Critical
passenger_emergency,0.63,0.3801,15,0,0,Medium
weather_alert,2.01,0.4747,16,0,1,Critical
signal_failure,22.35,0.3708,1,1,1,Critical
signal_failure,7.08,0.468,16,1,0,Critical
engine_issue,26.83,0.3189,9,1,0,High
engine_issue,40.05,0.3078,17,0,1,Critical
signal_failure,43.42,0.3798,15,1,0,Critical
weather_alert,1.1,0.1861,17,1,0,Medium
engine_issue,11.75,0.1501,3,0,1,Low
signal_failure,1.6,0.2901,11,1,0,Medium
signal_failure,31.87,0.2042,14,1,0,High
engine_issue,22.77,0.4705,12,1,1,Critical
weather_alert,6.73,0.6069,16,0,1,Critical
passenger_emergency,7.37,0.1261,14,0,1,Low
engine_issue,12.18,0.0407,1,0,0,Low
track_fault,17.58,0.125,4,0,1,Low
passenger_emergency,27.89,0.1816,13,1,0,High
engine_issue,1.74,0.5628,7,1,1,Critical
track_fault,12.36,0.4901,7,1,0,Critical
engine_issue,7.19,0.1089,18,0,1,Medium
signal_failure,4.79,0.4311,2,1,0,High
track_fault,18.45,0.1928,10,0,1,Medium
engine_issue,7.71,0.1879,6,1,1,Medium
passenger_emergency,21.2,0.1766,1,0,0,Low
weather_alert,26.28,0.2808,8,1,0,High
weather_alert,7.1,0.3545,8,1,0,High
engine_issue,0.25,0.2833,9,0,1,Medium
signal_failure,52.88,0.2045,4,1,1,Critical
track_fault,18.34,0.7437,14,1,1,Critical
passenger_emergency,34.06,0.5251,7,1,1,Critical
signal_failure,1.42,0.4731,11,1,0,Critical
passenger_emergency,2.09,0.4352,11,1,0,High
weather_alert,0.92,0.2578,11,1,0,Medium
track_fault,3.69,0.2012,10,0,0,Low
weather_alert,0.13,0.5513,6,0,0,High
passenger_emergency,31.46,0.3857,10,1,0,Critical
signal_failure,5.67,0.0499,11,0,1,Low
signal_failure,23.97,0.1234,1,1,0,Low
weather_alert,26.8,0.4984,14,1,1,Critical
passenger_emergency,26.58,0.2279,9,0,0,Medium
signal_failure,9.94,0.4644,6,0,1,High
weather_alert,52.81,0.2496,1,0,1,High
signal_failure,33.24,0.3831,6,0,1,Critical
weather_alert,47.91,0.1662,8,0,1,High
weather_alert,13.28,0.3515,16,1,0,High
signal_failure,30.65,0.0592,13,1,1,High
weather_alert,9.2,0.4723,8,1,0,Critical
passenger_emergency,19.85,0.376,3,0,1,High
passenger_emergency,18.04,0.4124,6,1,0,High
signal_failure,1.11,0.1257,18,0,0,Low
track_fault,3.38,0.3584,3,1,1,High
track_fault,23.24,0.2396,12,1,1,High
engine_issue,0.4,0.1504,10,0,1,Low
signal_failure,21.97,0.3297,5,1,1,Critical
passenger_emergency,13.23,0.1244,17,1,0,Medium
weather_alert,70.56,0.2346,8,0,1,Critical
passenger_emergency,0.52,0.0395,13,0,0,Low
signal_failure,10.85,0.4789,2,1,0,High
signal_failure,47.66,0.2552,19,0,0,High
passenger_emergency,0.13,0.2172,1,1,1,Medium
track_fault,15.97,0.3345,6,0,0,Medium
weather_alert,6.49,0.4553,18,0,0,High
passenger_emergency,4.36,0.1072,13,1,0,Low
signal_failure,20.34,0.395,13,1,0,Critical
signal_failure,9.39,0.1326,6,1,1,Medium
signal_failure,12.76,0.3315,15,1,0,High
signal_failure,0.0,0.1107,18,1,1,Medium
signal_failure,11.73,0.0616,12,1,0,Low
passenger_emergency,1.2,0.1172,5,1,0,Low
weather_alert,9.87,0.161,18,1,1,High
passenger_emergency,1.35,0.369,1,0,0,Low
passenger_emergency,16.51,0.2121,18,1,0,High
passenger_emergency,2.84,0.4096,1,1,0,Medium
track_fault,0.41,0.1972,2,1,0,Low
track_fault,25.59,0.1795,1,0,1,Medium
passenger_emergency,3.66,0.4706,4,1,1,Critical
track_fault,0.12,0.0782,14,0,0,Low
signal_failure,17.94,0.2571,8,0,1,Medium
weather_alert,11.19,0.143,2,0,0,Low
passenger_emergency,14.17,0.3069,7,0,1,High
passenger_emergency,30.8,0.4763,19,1,1,Critical
passenger_emergency,3.04,0.3395,10,1,0,High
signal_failure,4.25,0.1823,14,0,1,Medium
weather_alert,20.62,0.0795,6,1,0,Low
passenger_emergency,6.79,0.2574,10,1,1,High
weather_alert,4.41,0.4544,16,0,1,Critical
passenger_emergency,25.13,0.2375,13,1,0,High
passenger_emergency,6.48,0.2165,1,0,1,Low
engine_issue,6.25,0.2514,12,1,0,Medium
signal_failure,43.9,0.5002,16,0,0,Critical
engine_issue,0.25,0.0813,3,1,1,Low
track_fault,45.06,0.4262,8,0,1,Critical
signal_failure,6.05,0.5643,13,1,0,Critical
signal_failure,49.07,0.612,1,0,1,Critical
weather_alert,2.08,0.3187,14,0,1,High
engine_issue,12.87,0.1662,17,1,1,High
engine_issue,20.13,0.4677,10,1,1,Critical
weather_alert,20.88,0.1808,9,0,0,Low
engine_issue,1.44,0.0197,2,0,0,Low
weather_alert,1.36,0.3208,14,1,1,High
signal_failure,14.51,0.2224,18,0,1,High
passenger_emergency,1.44,0.6295,17,1,1,Critical
engine_issue,24.16,0.1301,11,1,0,Medium
signal_failure,28.18,0.1578,1,1,0,Medium
passenger_emergency,2.29,0.6021,6,0,0,High
weather_alert,21.99,0.2356,5,1,0,Medium
signal_failure,0.75,0.3507,1,0,0,Low
signal_failure,47.09,0.4644,3,0,0,Critical
signal_failure,11.06,0.152,11,0,1,Medium
track_fault,19.76,0.3574,2,1,0,High
signal_failure,19.55,0.2282,1,0,1,Medium
weather_alert,16.07,0.284,18,1,0,High
engine_issue,13.38,0.4224,12,1,1,Critical
passenger_emergency,0.43,0.2662,16,0,0,Medium
weather_alert,30.15,0.383,5,1,1,Critical
weather_alert,13.84,0.3522,7,1,0,High
engine_issue,4.3,0.2819,12,0,1,Medium
signal_failure,6.34,0.189,14,1,1,High
signal_failure,6.74,0.3108,7,0,1,Medium
weather_alert,1.0,0.2696,18,1,1,High
signal_failure,3.13,0.2533,14,0,1,Medium
signal_failure,0.3,0.3852,5,0,1,Medium
track_fault,13.42,0.3679,2,0,0,Medium
passenger_emergency,8.05,0.2639,1,0,0,Low
engine_issue,47.95,0.1554,17,0,1,High
weather_alert,4.07,0.2589,16,1,0,High
engine_issue,12.86,0.4783,10,1,1,Critical
signal_failure,1.04,0.3516,14,0,1,High
track_fault,5.4,0.4765,17,1,0,Critical
signal_failure,14.2,0.693,4,0,1,Critical
weather_alert,45.45,0.2768,19,0,1,Critical
signal_failure,49.03,0.3369,10,1,0,Critical
track_fault,0.75,0.2247,9,0,1,Medium
passenger_emergency,14.58,0.653,4,1,1,Critical
engine_issue,3.79,0.714,13,0,0,Critical
engine_issue,31.37,0.2519,12,0,1,High
engine_issue,20.08,0.1696,1,1,1,Medium
weather_alert,3.53,0.1629,13,0,1,Medium
track_fault,7.38,0.3374,3,0,0,Low
weather_alert,0.12,0.2406,6,1,1,Medium
passenger_emergency,7.8,0.3735,12,1,1,Critical
engine_issue,11.85,0.2362,15,1,0,High
engine_issue,9.69,0.2621,3,1,1,High
signal_failure,19.5,0.4165,9,0,1,Critical
track_fault,2.22,0.4017,6,1,0,High
passenger_emergency,26.39,0.3583,14,1,1,Critical
engine_issue,7.09,0.6201,16,1,0,Critical
track_fault,7.39,0.245,13,0,1,Medium
engine_issue,5.29,0.2725,16,1,0,High
engine_issue,22.63,0.0956,9,1,1,Medium
engine_issue,7.72,0.3014,12,1,0,High
weather_alert,5.56,0.2211,6,1,1,Medium
track_fault,15.08,0.1272,19,0,0,Low
weather_alert,15.23,0.4203,4,1,1,Critical
engine_issue,5.97,0.3428,18,1,1,Critical
passenger_emergency,28.84,0.7825,15,1,0,Critical
signal_failure,7.21,0.5859,19,1,0,Critical
signal_failure,19.47,0.0395,13,0,1,Low
engine_issue,5.24,0.3865,7,0,0,Medium
engine_issue,22.82,0.2455,6,0,1,Medium
weather_alert,22.19,0.0547,4,1,1,Low
engine_issue,18.93,0.1606,19,1,1,High
passenger_emergency,23.98,0.243,3,1,0,Medium
engine_issue,12.85,0.613,16,0,0,Critical
signal_failure,3.06,0.2322,14,0,0,Low
signal_failure,10.69,0.1827,3,1,1,Medium
passenger_emergency,3.55,0.0548,18,0,1,Low
signal_failure,14.39,0.1303,4,0,1,Low
passenger_emergency,1.78,0.2428,4,0,0,Low
track_fault,12.65,0.3785,11,0,0,High
signal_failure,2.36,0.0893,2,1,1,Low
track_fault,13.31,0.2803,2,1,0,Medium
weather_alert,61.47,0.4139,12,1,0,Critical
engine_issue,17.22,0.1002,19,0,1,Medium
weather_alert,5.51,0.3761,2,1,0,Medium
weather_alert,4.09,0.2758,13,1,0,Medium
engine_issue,8.11,0.2367,12,0,1,Medium
weather_alert,10.73,0.1773,2,0,0,Low
passenger_emergency,13.95,0.1802,3,1,1,Medium
engine_issue,4.37,0.5413,9,0,1,Critical
signal_failure,15.05,0.3298,14,0,0,High
engine_issue,2.75,0.6086,5,0,1,Critical
passenger_emergency,38.99,0.3496,9,1,1,Critical
track_fault,19.66,0.1488,10,0,0,Low
passenger_emergency,9.72,0.4626,14,0,0,High
engine_issue,17.18,0.4065,5,1,0,High
weather_alert,2.54,0.5706,14,0,1,Critical
track_fault,29.33,0.2987,16,0,0,High
passenger_emergency,34.72,0.5545,12,0,0,Critical
signal_failure,3.24,0.1677,14,0,1,Medium
track_fault,0.58,0.1384,4,1,1,Low
engine_issue,6.57,0.3914,18,1,0,Critical
engine_issue,16.61,0.1887,6,1,1,Medium
engine_issue,53.73,0.5417,4,0,0,Critical
signal_failure,6.11,0.0984,11,0,0,Low
track_fault,5.98,0.096,8,0,1,Low
signal_failure,1.91,0.2112,9,0,0,Low
engine_issue,30.28,0.0813,16,1,1,High
track_fault,46.74,0.3033,11,0,1,Critical
engine_issue,1.08,0.1915,8,1,0,Low
engine_issue,1.42,0.0822,16,1,0,Low
weather_alert,4.56,0.0193,8,0,1,Low
engine_issue,33.42,0.1812,19,0,1,High
weather_alert,72.14,0.0061,19,1,1,Critical
engine_issue,6.53,0.1532,9,1,0,Low
weather_alert,20.97,0.3726,15,1,0,Critical
weather_alert,13.42,0.3803,14,1,0,Critical
track_fault,3.65,0.4736,17,0,1,Critical
track_fault,11.9,0.2524,9,0,1,Medium
weather_alert,43.66,0.4049,8,0,0,Critical
track_fault,21.47,0.0906,6,1,0,Low
engine_issue,22.54,0.3127,12,1,0,High
signal_failure,20.54,0.3865,12,0,1,Critical
engine_issue,2.26,0.178,9,0,0,Low
engine_issue,10.67,0.4145,6,0,1,High
weather_alert,17.45,0.2371,9,1,0,Medium
engine_issue,11.29,0.2573,10,0,0,Medium
track_fault,0.16,0.0421,3,0,1,Low
passenger_emergency,1.41,0.4178,13,1,0,High
engine_issue,35.19,0.4277,17,0,1,Critical
passenger_emergency,21.27,0.2278,7,1,0,Medium
weather_alert,20.32,0.4868,8,1,1,Critical
engine_issue,32.39,0.1436,2,0,0,Low
passenger_emergency,18.19,0.4347,12,1,1,Critical
signal_failure,56.82,0.1839,9,1,1,Critical
passenger_emergency,35.3,0.398,17,0,0,Critical
passenger_emergency,4.76,0.1454,18,0,0,Low
engine_issue,6.19,0.1635,15,0,1,Medium
weather_alert,11.16,0.0723,4,1,1,Low
engine_issue,4.63,0.2054,4,1,1,Medium
track_fault,29.34,0.6171,10,0,0,Critical
weather_alert,2.89,0.0656,12,1,0,Low
track_fault,13.36,0.055,1,0,0,Low
track_fault,20.51,0.5048,10,0,1,Critical
engine_issue,13.4,0.4765,2,1,1,Critical
passenger_emergency,4.42,0.2202,5,0,1,Low
track_fault,10.28,0.0567,7,1,0,Low
engine_issue,2.31,0.1436,1,1,0,Low
signal_failure,10.95,0.1849,5,1,0,Low
signal_failure,12.13,0.2599,12,0,0,Medium
signal_failure,10.44,0.2634,19,0,0,Medium
signal_failure,11.84,0.0863,15,0,0,Low
passenger_emergency,4.23,0.4878,6,1,1,Critical
passenger_emergency,50.66,0.2142,18,0,1,Critical
passenger_emergency,19.39,0.1652,9,0,1,Medium
signal_failure,14.55,0.1575,7,0,1,Low
signal_failure,16.26,0.0688,17,1,1,Medium
track_fault,7.17,0.4809,8,1,1,Critical
engine_issue,38.74,0.0931,15,1,1,High
track_fault,2.29,0.2327,4,0,1,Low
engine_issue,0.64,0.4418,7,1,1,Critical
signal_failure,16.68,0.0725,19,1,0,Medium
weather_alert,13.06,0.2426,5,0,0,Low
track_fault,5.93,0.2826,17,0,1,High
signal_failure,59.44,0.2304,9,1,0,Critical
weather_alert,18.69,0.3305,19,0,1,Critical
passenger_emergency,10.85,0.1435,8,0,0,Low
signal_failure,23.5,0.2174,10,1,1,High
engine_issue,2.65,0.3729,8,0,1,High
passenger_emergency,6.26,0.342,4,1,0,Medium
weather_alert,3.34,0.221,17,1,0,Medium
passenger_emergency,3.53,0.3061,11,0,0,Medium
engine_issue,22.64,0.111,10,1,1,Medium
track_fault,9.49,0.2819,8,0,0,Medium
weather_alert,12.31,0.254,15,0,1,High
signal_failure,5.57,0.7464,7,1,0,Critical
track_fault,1.98,0.083,5,0,1,Low
weather_alert,4.53,0.4288,2,1,0,High
weather_alert,4.69,0.3706,17,0,0,High
signal_failure,14.13,0.046,2,1,0,Low
engine_issue,19.54,0.2689,17,1,1,Critical
track_fault,62.65,0.4845,8,1,1,Critical
engine_issue,33.49,0.2954,1,0,1,High
passenger_emergency,68.51,0.5175,18,0,1,Critical
signal_failure,23.18,0.3674,15,1,1,Critical
passenger_emergency,0.17,0.2374,14,1,0,Medium
engine_issue,1.74,0.0222,11,1,1,Low
weather_alert,13.6,0.4062,15,0,0,High
engine_issue,10.39,0.3762,3,0,0,Medium
track_fault,3.74,0.6429,5,0,1,Critical
weather_alert,3.9,0.5318,11,1,0,Critical
weather_alert,20.26,0.191,14,1,1,High
signal_failure,6.66,0.409,12,0,1,High
weather_alert,20.75,0.3021,8,0,1,High
weather_alert,18.65,0.1748,13,1,1,High
track_fault,7.7,0.2648,2,0,1,Medium
passenger_emergency,11.71,0.3307,10,0,1,High
weather_alert,5.66,0.1782,8,0,0,Low
track_fault,14.26,0.3959,10,1,1,Critical
signal_failure,39.37,0.28,3,1,0,High
weather_alert,22.52,0.537,18,0,0,Critical
track_fault,15.02,0.2563,17,1,1,Critical
weather_alert,20.79,0.0899,18,1,1,High
engine_issue,8.18,0.3247,16,1,1,Critical
engine_issue,8.1,0.3813,13,0,1,High
signal_failure,2.25,0.1948,6,0,1,Low
weather_alert,7.29,0.3016,3,1,0,Medium
signal_failure,11.85,0.1148,12,0,1,Low
engine_issue,6.43,0.2144,18,1,1,High
passenger_emergency,0.98,0.1684,7,1,0,Low
passenger_emergency,0.68,0.2506,19,1,1,High
passenger_emergency,5.36,0.3355,3,1,0,Medium
passenger_emergency,3.56,0.6203,6,0,0,Critical
engine_issue,9.3,0.077,13,0,0,Low
track_fault,13.71,0.6712,10,0,0,Critical
passenger_emergency,13.37,0.2402,15,0,1,High
passenger_emergency,3.13,0.1604,7,1,0,Low
passenger_emergency,22.47,0.4946,15,0,1,Critical
weather_alert,35.76,0.5471,6,0,1,Critical
signal_failure,14.23,0.607,3,0,0,Critical
engine_issue,11.97,0.6017,11,0,0,Critical
engine_issue,3.21,0.0597,10,1,0,Low
passenger_emergency,0.42,0.3446,11,0,0,Medium
track_fault,20.19,0.3004,1,1,1,High
track_fault,38.65,0.464,8,0,0,Critical
signal_failure,45.13,0.2589,2,1,0,High
passenger_emergency,0.81,0.3548,16,1,1,Critical
weather_alert,16.68,0.1423,2,0,1,Low
signal_failure,9.43,0.4477,18,1,1,Critical
engine_issue,0.29,0.0168,2,0,0,Low
engine_issue,7.61,0.1859,12,1,0,Medium
engine_issue,4.23,0.1229,7,1,1,Medium
passenger_emergency,11.17,0.3204,3,0,1,Medium
signal_failure,16.81,0.0733,7,0,1,Low
track_fault,11.05,0.1036,1,1,0,Low
signal_failure,14.16,0.1653,14,1,0,Medium
track_fault,13.62,0.3748,17,1,0,Critical
passenger_emergency,0.02,0.3288,7,1,1,High
passenger_emergency,50.87,0.3032,9,0,1,Critical
signal_failure,23.38,0.2423,3,0,1,Medium
weather_alert,0.43,0.5513,10,1,0,Critical
track_fault,3.77,0.2243,18,0,0,Medium
signal_failure,3.98,0.4938,11,1,0,Critical
track_fault,1.76,0.1671,17,0,0,Low
signal_failure,1.18,0.3461,15,1,0,High
engine_issue,10.38,0.1789,3,1,1,Medium
passenger_emergency,1.74,0.468,2,0,1,High
engine_issue,21.08,0.389,7,0,1,High
weather_alert,10.44,0.513,18,1,1,Critical
engine_issue,3.79,0.134,4,0,1,Low
signal_failure,19.58,0.1938,1,0,0,Low
signal_failure,16.94,0.1534,19,0,0,Medium
track_fault,42.91,0.0678,4,1,0,Medium
track_fault,2.6,0.1005,7,1,1,Low
passenger_emergency,2.2,0.2768,15,1,1,High
passenger_emergency,2.41,0.1776,2,1,1,Medium
passenger_emergency,6.64,0.2739,4,1,0,Medium
weather_alert,27.61,0.195,14,1,0,High
engine_issue,47.73,0.1651,1,1,0,Medium
weather_alert,13.58,0.3113,14,1,0,High
engine_issue,25.04,0.162,11,1,0,Medium
weather_alert,62.49,0.1836,5,0,0,High
weather_alert,0.48,0.0823,12,0,0,Low
weather_alert,36.12,0.1556,7,0,1,Medium
weather_alert,5.66,0.3515,19,0,1,High
signal_failure,0.17,0.4242,8,0,0,Medium
weather_alert,7.47,0.3616,15,1,0,High
track_fault,42.88,0.4681,6,1,1,Critical
weather_alert,7.8,0.0467,16,0,0,Low
engine_issue,10.63,0.1961,6,1,0,Medium
passenger_emergency,4.1,0.1141,10,1,1,Medium
